Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Eliseo Motyka",normal,44,Failed,"Minibus","Zone place_merch_21_2","1","12:30:20","12:31:54",
Bot3,"Laverne Forward",easy,35,Completed,"Power Station","Power Station: Objective #2","2","12:30:20","12:30:52",
Bot3,"Laverne Forward",easy,35,Failed,"Power Station","Power Station: Objective #1","2","12:30:57","12:32:46",
Bot2,"Leonel Sterns",hard,20,Completed,"Railway Stashes","Railway Stashes: Objective #4","1","12:30:20","12:31:01",
Bot2,"Leonel Sterns",hard,20,Completed,"Railway Stashes","Railway Stashes: Objective #5","1","12:31:06","12:31:39",
Bot2,"Leonel Sterns",hard,20,Completed,"Railway Stashes","Railway Stashes: Objective #3","1","12:31:44","12:32:11",
Bot2,"Leonel Sterns",hard,20,Completed,"Railway Stashes","Railway Stashes: Objective #2","1","12:32:16","12:33:10",
Bot2,"Leonel Sterns",hard,20,Completed,"Railway Stashes","Railway Stashes: Objective #1","1","12:33:15","12:33:48",
Bot2,"Leonel Sterns",hard,20,Completed,"Railway Area","Railway Area: Objective #4","1","12:33:53","12:34:07",
Bot2,"Leonel Sterns",hard,20,Completed,"Railway Area","Railway Area: Objective #3","1","12:34:12","12:34:30",
Bot2,"Leonel Sterns",hard,20,Completed,"Railway Area","Railway Area: Objective #2","1","12:34:35","12:34:46",
Bot2,"Leonel Sterns",hard,20,Completed,"Railway Area","Railway Area: Objective #1","1","12:34:51","12:35:02",
Bot2,"Leonel Sterns",hard,20,Failed,"IDEA Office","IDEA Office: Objective #1","1","12:35:07","12:36:38",
Bot4,"Jewel Leaks",easy,42,Completed,"Power Station Stashes","Power Station Stashes: Objective #3","1","12:30:20","12:33:59",
Bot4,"Jewel Leaks",easy,42,Completed,"Power Station Stashes","Power Station Stashes: Objective #2","1","12:34:04","12:34:25",
Bot4,"Jewel Leaks",easy,42,Failed,"Power Station Stashes","Power Station Stashes: Objective #4","1","12:34:30","12:35:06",
Bot4,"Jewel Leaks",easy,42,Completed,"Power Station Stashes","Power Station Stashes: Objective #1","1","12:35:12","12:35:37",
Bot4,"Jewel Leaks",easy,42,Failed,"Informed Means Armed","Zone place_skier_11_3","1","12:35:42","12:37:32",
Bot4,"Jewel Leaks",easy,42,Failed,"Vitamins - Part 1","Item Chemical container #3","1","12:37:34","12:37:55",
Bot4,"Jewel Leaks",easy,42,Failed,"Vitamins - Part 1","Item Chemical container #2","1","12:38:00","12:38:19",
Bot4,"Jewel Leaks",easy,42,Failed,"Provocation","Zone quest_zone_keeper6_kiba_hide","1","12:38:24","12:39:06",
Bot4,"Jewel Leaks",easy,42,Failed,"Provocation","Zone quest_zone_keeper6_safe_hide","1","12:39:07","12:44:31",
Bot4,"Jewel Leaks",easy,42,Failed,"The Key to Success","Item Clothes design handbook - Part 1","1","12:44:32","12:45:16",
Bot4,"Jewel Leaks",easy,42,Completed,"The Key to Success","Item Clothes design handbook - Part 2","1","12:45:22","12:47:04",
Bot4,"Jewel Leaks",easy,42,Failed,"KIBA","KIBA: Objective #1","1","12:47:10","12:48:17",
Bot6,"Игнат Кулагин",hard,37,Failed,"The Key to Success","Item Clothes design handbook - Part 2","1","12:30:20","12:32:45",
Bot5,"Герасим Бодров",hard,19,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","12:30:20","12:30:33",
Bot5,"Герасим Бодров",hard,19,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_3","1","12:30:38","12:33:19",
Bot7,"Lorenzo Sherwood",easy,39,Completed,"Informed Means Armed","Zone place_skier_11_3","2","12:30:20","12:33:52",
Bot7,"Lorenzo Sherwood",easy,39,Completed,"The Key to Success","Item Clothes design handbook - Part 1","1","12:33:57","12:35:21",
Bot7,"Lorenzo Sherwood",easy,39,Completed,"The Key to Success","Item Clothes design handbook - Part 2","1","12:35:26","12:36:20",
Bot7,"Lorenzo Sherwood",easy,39,Failed,"Minibus","Zone place_merch_21_2","1","12:36:25","12:37:05",
Bot7,"Lorenzo Sherwood",easy,39,Failed,"Minibus","Zone place_merch_21_3","1","12:37:10","12:37:30",
Bot7,"Lorenzo Sherwood",easy,39,Failed,"Minibus","Zone place_merch_21_1","1","12:37:36","12:39:21",
Bot7,"Lorenzo Sherwood",easy,39,Failed,"Provocation","Zone quest_zone_keeper6_cont_hide","1","12:39:26","12:39:36",
Bot7,"Lorenzo Sherwood",easy,39,Failed,"Provocation","Zone quest_zone_keeper6_safe_hide","1","12:39:38","12:43:00",
Bot7,"Lorenzo Sherwood",easy,39,Failed,"Provocation","Zone quest_zone_keeper6_kiba_hide","1","12:43:01","12:43:45",
