Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot202,"Алексей Курепин",normal,26,Completed,"Revision - Reserve","Zone tadeush_bmp2_area_check_2","1","17:55:19","17:55:26",
Bot202,"Алексей Курепин",normal,26,Completed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_2","1","17:55:31","17:55:46",
Bot202,"Алексей Курепин",normal,26,Failed,"Revision - Reserve","Zone tadeush_t90_area_check_1","1","17:55:51","17:56:33",
Bot202,"Алексей Курепин",normal,26,Completed,"Revision - Reserve","Zone tadeush_stryker_area_check_4","1","17:56:38","17:57:08",
Bot202,"Алексей Курепин",normal,26,Active,"Revision - Reserve","Zone tadeush_stryker_area_check_3","1","17:57:13","N/A",
Bot203,"Натан Стародубов",normal,64,Pending,"BMP #1","BMP #1: Objective #1","1","17:55:19","N/A",
Bot205,"Clement Rinehart",easy,17,Active,"The Bunker - Part 1","Zone prapor_024_area_1","1","17:55:19","N/A",
Bot204,"Martin Menchaca",easy,38,Failed,"Pest Control","Zone eger_barracks_area_2","1","17:55:19","17:57:01",
Bot206,"Roman Ostler",hard,25,Failed,"Documents","Item Military documents #2","1","17:55:19","17:57:23",
Bot207,"Hong Tibbitts",hard,25,Failed,"Back Door","Zone mechanik_exit_area_1","1","17:55:19","17:57:25",
Bot207,"Hong Tibbitts",hard,25,Failed,"Documents","Item Military documents #3","1","17:57:31","17:58:08",
Bot207,"Hong Tibbitts",hard,25,Active,"Documents","Item Military documents #2","1","17:58:13","N/A",
Bot208,"Мартын Урбановский",normal,38,Completed,"Boss Hunter","Spawn Point (102.7 -6.9 -5.5)","1","17:55:19","17:55:36",
Bot208,"Мартын Урбановский",normal,38,Failed,"Boss Hunter","Spawn Point (60.5 -6.9 -56.2)","1","17:55:41","17:57:25",
