Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot57,"Геннадий Куклачёв",normal,32,Completed,"Chumming","Zone place_skier_12_3","2","21:02:12","21:05:20",
Bot57,"Геннадий Куклачёв",normal,32,Completed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","21:05:25","21:06:16",
Bot57,"Геннадий Куклачёв",normal,32,Failed,"Lend-Lease - Part 1","Item Motor Controller #1","1","21:06:21","21:06:58",
Bot57,"Геннадий Куклачёв",normal,32,Completed,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #1","4","21:07:03","21:08:11",
Bot57,"Геннадий Куклачёв",normal,32,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","21:08:17","21:08:52",
Bot57,"Геннадий Куклачёв",normal,32,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","21:08:57","21:14:02",
Bot57,"Геннадий Куклачёв",normal,32,Completed,"Steady Signal","Zone q14_8_2","1","21:14:07","21:15:35",
Bot57,"Геннадий Куклачёв",normal,32,Completed,"Steady Signal","Zone q14_8_3","1","21:15:40","21:19:44",
Bot57,"Геннадий Куклачёв",normal,32,Active,"Steady Signal","Zone q14_8_1","1","21:19:49","N/A",
Bot58,"Степан Илюшин",normal,26,Completed,"Gratitude","Zone place_THX_15","2","21:02:12","21:06:48",
Bot58,"Степан Илюшин",normal,26,Completed,"Supply Plans","Item Secure Folder 0052","1","21:06:53","21:08:22",
Bot58,"Степан Илюшин",normal,26,Completed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","21:08:27","21:09:15",
Bot58,"Степан Илюшин",normal,26,Failed,"Lend-Lease - Part 1","Item Motor Controller #1","1","21:09:20","21:11:06",
Bot58,"Степан Илюшин",normal,26,Failed,"Informed Means Armed","Zone place_skier_11_1","1","21:11:11","21:12:06",
Bot59,"Star Григорьев",normal,5,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","1","21:02:12","21:12:37",
Bot60,"Rolando Alcott",normal,33,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2","1","21:02:12","21:05:17",
Bot60,"Rolando Alcott",normal,33,Completed,"The Cult - Part 2","Zone place_peacemaker_007_2_N2_1","1","21:05:22","21:11:45",
Bot60,"Rolando Alcott",normal,33,Completed,"Sunken Village","Sunken Village: Objective #3","1","21:11:50","21:12:51",
Bot60,"Rolando Alcott",normal,33,Completed,"Sunken Village","Sunken Village: Objective #2","1","21:12:56","21:13:54",
Bot60,"Rolando Alcott",normal,33,Completed,"Sunken Village","Sunken Village: Objective #1","1","21:13:59","21:15:42",
Bot60,"Rolando Alcott",normal,33,Completed,"Steady Signal","Zone q14_8_3","1","21:15:48","21:16:20",
Bot60,"Rolando Alcott",normal,33,Failed,"Steady Signal","Zone q14_8_2","1","21:16:25","21:17:23",
Bot61,"Jason Fortin",normal,50,Failed,"Lend-Lease - Part 1","Item Motor Controller #1","1","21:02:12","21:19:21",
Bot61,"Jason Fortin",normal,50,Completed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","21:19:26","21:20:19",
Bot61,"Jason Fortin",normal,50,Active,"Sawmill Shack","Sawmill Shack: Objective #1","1","21:20:24","N/A",
Bot63,"Gage Lakes",normal,12,Completed,"Scav House","Scav House: Objective #1","1","21:02:12","21:02:34",
Bot63,"Gage Lakes",normal,12,Failed,"Sawmill Marked Circle","Sawmill Marked Circle: Objective #1","1","21:02:39","21:03:52",
Bot80,"Garfield Schoenberg",normal,49,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","21:15:36","21:15:59",
Bot80,"Garfield Schoenberg",normal,49,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","21:16:04","21:17:12",
Bot80,"Garfield Schoenberg",normal,49,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","21:17:18","21:20:48",
Bot80,"Garfield Schoenberg",normal,49,Active,"Sawmill Checkpoint Sniping 2","Sawmill Checkpoint Sniping 2: Objective #1","2","21:20:53","N/A",
Bot85,"Floyd Sanner",normal,14,Pending,"Scav Base","Scav Base: Objective #3","1","21:18:52","N/A",
Bot86,"Moses Keaney",normal,28,Pending,"Scav Base","Scav Base: Objective #3","1","21:18:52","N/A",
Bot82,"Quinn Loftus",normal,17,Completed,"Scav Base","Scav Base: Objective #3","1","21:18:52","21:18:54",
Bot82,"Quinn Loftus",normal,17,Completed,"Scav Base","Scav Base: Objective #2","4","21:18:59","21:20:37",
Bot82,"Quinn Loftus",normal,17,Completed,"Scav Base","Scav Base: Objective #4","2","21:20:42","21:21:21",
Bot82,"Quinn Loftus",normal,17,Active,"Scav Base","Scav Base: Objective #1","1","21:21:26","N/A",
Bot83,"Erin Kinman",normal,42,Pending,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #1","1","21:18:53","N/A",
Bot84,"Bertram Harshaw",normal,35,Completed,"Scav Base","Scav Base: Objective #3","1","21:18:53","21:18:55",
Bot84,"Bertram Harshaw",normal,35,Pending,"Scav Base","Scav Base: Objective #2","1","21:19:00","N/A",
