Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot96,"George Blohm",normal,29,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","4","16:36:44","16:37:38",
Bot96,"George Blohm",normal,29,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","16:36:59","16:37:38",
Bot96,"George Blohm",normal,29,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","1","16:36:59","16:37:38",
Bot97,"Ian Zander",normal,28,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","4","16:36:45","16:37:46",
Bot97,"Ian Zander",normal,28,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","1","16:37:38","16:37:46",
Bot98,"Corey Burman",normal,39,Pending,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","4","16:36:46","N/A",
Bot99,"Caleb Keown",normal,38,Completed,"3rd Floor Hallway","3rd Floor Hallway: Objective #1","1","16:36:47","16:37:48",
Bot99,"Caleb Keown",normal,38,Completed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","2","16:37:53","16:38:31",
Bot99,"Caleb Keown",normal,38,Completed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","4","16:38:32","16:42:00",
Bot99,"Caleb Keown",normal,38,Failed,"Bathroom Key Spawns","Bathroom Key Spawns: Objective #1","1","16:42:05","16:42:09",
Bot100,"Остап Макаров",hard,42,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","16:36:48","16:39:22",
Bot101,"Lucas Vanzandt",normal,22,Failed,"Scout","Zone place_pacemaker_SCOUT_03","1","16:36:49","16:37:09",
Bot102,"Reynaldo Persaud",easy,29,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","16:36:50","16:36:55",
Bot103,"Terence Whitt",easy,40,Failed,"Weapon Crate in Workshop","Weapon Crate in Workshop: Objective #1","1","16:36:51","16:36:57",
Bot104,"Jonathon Mcbrayer",easy,56,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","16:36:52","16:37:00",
Bot109,"Демид Лапин",hard,35,Failed,"Crates Outside of Gate 3","Crates Outside of Gate 3: Objective #1","1","16:39:49","16:41:03",
Bot113,"Родион Драгунов",normal,50,Completed,"Boilers","Boilers: Objective #1","2","16:43:09","16:43:58",
Bot113,"Родион Драгунов",normal,50,Completed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","3","16:44:03","16:44:51",
Bot113,"Родион Драгунов",normal,50,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","1","16:44:56","16:46:27",
Bot115,"Ефрем Чупалов",hard,40,Failed,"Engineer's Office","Engineer's Office: Objective #1","1","16:44:05","16:44:08",
Bot115,"Ефрем Чупалов",hard,40,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","16:44:13","16:45:03",
Bot116,"Ярослав Федотов",hard,15,Failed,"1st Floor Office","1st Floor Office: Objective #2","1","16:44:06","16:46:51",
Bot117,"Игнатий Толмачёв",hard,16,Failed,"Bad Rep Evidence","Zone locked_office","1","16:44:07","16:45:23",
Bot118,"Карл Аристов",normal,55,Failed,"Crates Outside of Stairwell","Crates Outside of Stairwell: Objective #1","1","16:46:08","16:47:08",
