Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot20,"Marvin Toro",easy,37,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","15:42:17","15:43:23",
Bot21,"Jacques Dunkelberger",easy,45,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","3","15:42:18","15:43:00",
Bot22,"Porfirio Casper",easy,40,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","15:42:19","15:43:04",
Bot23,"Oswaldo Pastrana",normal,44,Failed,"Crates Near Lower Platform","Crates Near Lower Platform: Objective #1","1","15:42:20","15:45:09",
Bot23,"Oswaldo Pastrana",normal,44,Failed,"Health Care Privacy - Part 5","Zone ter_017_area_1","1","15:45:14","15:45:14",
Bot23,"Oswaldo Pastrana",normal,44,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","1","15:45:15","15:45:15",
Bot23,"Oswaldo Pastrana",normal,44,Failed,"1st Floor Office","1st Floor Office: Objective #1","1","15:45:20","15:45:20",
Bot23,"Oswaldo Pastrana",normal,44,Failed,"1st Floor Office","1st Floor Office: Objective #2","1","15:45:25","15:45:25",
Bot23,"Oswaldo Pastrana",normal,44,Failed,"3rd Floor Bridge","3rd Floor Bridge: Objective #1","1","15:45:31","15:45:31",
Bot24,"Иван Леонов",normal,33,Active,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","15:42:21","N/A",
Bot25,"Данила Спанов",normal,26,Completed,"Scout","Zone place_pacemaker_SCOUT_01","1","15:42:22","15:42:46",
Bot25,"Данила Спанов",normal,26,Completed,"Scout","Zone place_pacemaker_SCOUT_04","1","15:42:51","15:43:46",
Bot25,"Данила Спанов",normal,26,Failed,"Scout","Zone place_pacemaker_SCOUT_02","1","15:43:51","15:45:20",
Bot25,"Данила Спанов",normal,26,Failed,"Scout","Zone place_pacemaker_SCOUT_03","1","15:45:25","15:45:25",
Bot25,"Данила Спанов",normal,26,Failed,"Chemical - Part 3","Item Syringe with a chemical","1","15:45:30","15:45:30",
Bot25,"Данила Спанов",normal,26,Failed,"Health Care Privacy - Part 5","Zone ter_017_area_1","1","15:45:35","15:45:35",
Bot25,"Данила Спанов",normal,26,Failed,"Farming - Part 1","Zone place_SADOVOD_01_1","1","15:45:36","15:45:36",
Bot25,"Данила Спанов",normal,26,Failed,"Farming - Part 1","Zone place_SADOVOD_01_2","1","15:45:38","15:45:38",
Bot25,"Данила Спанов",normal,26,Failed,"1st Floor Office","1st Floor Office: Objective #2","1","15:45:39","15:45:39",
Bot25,"Данила Спанов",normal,26,Failed,"1st Floor Office","1st Floor Office: Objective #1","1","15:45:44","15:45:44",
